feature,rtmed.x,mzmed.x,keep,compound_name,keep_final,reason
FT0912,121.30453,336.2533852,NA,NA,n,no data in isotope
FT0801,126.005,295.1903877,NA,NA,n,messy
FT0382,127.78619,177.1134484,y,NA,n,messy and only M has sig change
FT0813,128.821325,299.2005456,NA,NA,n,messy
FT0914,131.57891,337.2373074,NA,NA,n,messy
FT0836,133.41095,307.1903228,NA,NA,n,messy
FT0794,133.784665,293.2110291,NA,NA,n,messy
FT0760,135.59944,282.1547243,NA,NA,y,messy but ok
FT0884,136.55318,328.1965864,NA,NA,n,messy
FT0877,138.93796,326.1809307,y,NA,n,messy
FT0272,141.736725,152.0818649,NA,NA,n,messy
FT0706,143.5695,268.1753966,y,NA,n,messy
FT0455,144.01405,193.143481,y,NA,n,messy
FT0540,145.46342,223.1539294,NA,NA,n,messy and only M has sig change
FT0560,146.7075,229.1434177,NA,NA,n,looks like the isotope of something else
FT0702,148.08141,267.1800941,NA,NA,n,messy
FT0892,148.9189,330.2121313,NA,NA,n,messy
FT0130,150.41914,124.0052033,y,NA,n,looks like the isotope of something else
FT0400,150.88474,179.1277264,y,NA,n,messy
FT0776,152.22888,286.1858796,NA,NA,n,messy
FT0886,153.19504,328.2329488,NA,NA,n,messy
FT0566,155.93652,231.1702784,NA,NA,n,messy
FT1075,162.224725,499.404794,NA,NA,n,messy and only M has sig change
FT0052,166.023825,100.0760973,NA,NA,n,messy
FT0132,251.73366,124.0394489,NA,NA,n,messy
FT0656,261.18503,252.1090258,NA,NA,y,legit - deoxyadenosine - matches exp2 FT632
FT0516,270.305,214.064271,NA,NA,n,data missing
FT0737,271.64026,276.0900026,NA,NA,n,data missing
FT0705,320.13901,268.1039106,NA,NA,y,legit - matches exp2 FT674
FT0190,329.967,136.061779,NA,NA,y,legit - matches exp2 FT159
FT0357,350.24249,174.0219483,NA,NA,y,legit - matches exp2 FT321
FT0205,375.08896,138.0548578,NA,NA,y,legit - matches exp2 FT174
FT0470,376.13831,196.1080893,NA,NA,n,too messy
FT0141,380.40753,126.0663325,NA,NA,n,too messy
FT0430,406.16217,188.0917688,NA,NA,n,too messy
FT0526,421.61957,218.1387136,NA,NA,n,too messy
FT0084,440.84851,112.1123685,NA,NA,n,messy and only M has sig change
FT0233,443.72989,144.1019158,NA,NA,n,too messy
FT0082,445.56445,112.0508234,NA,NA,y,looks good: cytosine - matches exp2 FT058
FT0011,454.52472,76.0763037,NA,NA,y,TMNO? - matches exp2 FT008
FT0769,466.36304,285.1443323,NA,NA,y,legit
FT0101,478.80801,118.086419,y,Glycine betaine,y,legit - matches exp2 FT077
FT0001,480.73599,62.06070243,NA,NA,n,too messy
FT0222,483.57983,141.0658387,NA,NA,y,legit
FT0195,484.52899,137.0458202,NA,NA,n,too messy
FT0168,491.396315,132.1020109,NA,NA,n,too messy
FT0489,494.02814,204.1231562,NA,NA,n,too messy
FT0297,504.82684,160.108088,NA,NA,n,too messy
FT0204,513.7002,138.0549266,NA,NA,y,legit; homarine? - matches exp2 FT173
