Protein Name,Precursor Ion Name,Experiment,n
"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",Fate1,21
"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0",Fate2,18
Internal Standards_neg,"Adenosine Monophosphate, 15N5",Fate1,21
Internal Standards_neg,"Adenosine Monophosphate, 15N5",Fate2,18
Internal Standards_neg,"Guanosine Monophosphate, 15N5",Fate1,21
Internal Standards_neg,"Guanosine Monophosphate, 15N5",Fate2,18
Internal Standards_neg,"Isethionic Acid, 13C2",Fate1,21
Internal Standards_neg,"Isethionic Acid, 13C2",Fate2,18
Internal Standards_neg,"L-Cysteic Acid, D3",Fate1,21
Internal Standards_neg,"L-Cysteic Acid, D3",Fate2,18
Internal Standards_neg,"Succinic Acid, D4",Fate1,21
Internal Standards_neg,"Succinic Acid, D4",Fate2,18
Internal Standards_neg,"Sucrose, 13C",Fate1,21
Internal Standards_neg,"Sucrose, 13C",Fate2,18
Internal Standards_neg,"Sulfoacetic Acid, 13C2",Fate1,21
Internal Standards_neg,"Sulfoacetic Acid, 13C2",Fate2,18
Internal Standards_neg,"Sulfolactic Acid, 13C3",Fate1,21
Internal Standards_neg,"Sulfolactic Acid, 13C3",Fate2,18
Internal Standards_neg,"Taurine, D4",Fate1,21
Internal Standards_neg,"Taurine, D4",Fate2,18
Internal Standards_neg,"Thymine, D4",Fate1,21
Internal Standards_neg,"Thymine, D4",Fate2,18
Internal Standards_neg,"Trehalose, 13C",Fate1,21
Internal Standards_neg,"Trehalose, 13C",Fate2,18
Isethionic acid,Isethionic acid_13C-0,Fate1,21
Isethionic acid,Isethionic acid_13C-0,Fate2,18
Sucrose,Sucrose_13C-0,Fate1,1
Sucrose,Sucrose_13C-0,Fate2,2
Trehalose,Trehalose_13C-0,Fate1,21
Trehalose,Trehalose_13C-0,Fate2,18
